"","var","rel.inf","run"
"logCoastPop20","logCoastPop",4.65473819083487,202
"HDI20","HDI",4.11765080520305,202
"logEstDis20","logEstDis",2.75261279447858,202
"logFishEffort20","logFishEffort",2.72138881968865,202
"logPprodMean20","logPprodMean",2.0937434549869,202
"SstMean20","SstMean",2.08237799998693,202
"speciessmall20","speciessmall",0.611777365615846,202
"speciesgreen20","speciesgreen",0.505676331518289,202
"specieslarge20","specieslarge",0.0805028782025361,202
"speciesdwarf20","speciesdwarf",0,202
"speciesnarrow20","speciesnarrow",0,202
"logShelfAreaShallow21","logShelfAreaShallow",24.2238211286067,212
"logMang21","logMang",14.982191985891,212
"logtotalGearTonnes21","logtotalGearTonnes",13.3690860084098,212
"logProteinDiet21","logProteinDiet",9.88536235182432,212
"WGI21","WGI",7.93237996604812,212
"logGDP21","logGDP",6.03848219429849,212
"logChondCatch21","logChondCatch",5.43587575061677,212
"logCoastPop21","logCoastPop",4.24354758145131,212
"HDI21","HDI",3.51055575371275,212
"logEstDis21","logEstDis",3.02484871664425,212
"logPprodMean21","logPprodMean",2.62259105872364,212
"logFishEffort21","logFishEffort",2.38083520024221,212
"SstMean21","SstMean",1.13901003792315,212
"speciessmall21","speciessmall",0.661544928499903,212
"speciesgreen21","speciesgreen",0.385667451857088,212
"specieslarge21","specieslarge",0.164199885250426,212
"speciesdwarf21","speciesdwarf",0,212
"speciesnarrow21","speciesnarrow",0,212
"logShelfAreaShallow22","logShelfAreaShallow",25.0563014807244,222
"logMang22","logMang",14.9725256568647,222
"logtotalGearTonnes22","logtotalGearTonnes",14.4060449441159,222
"logProteinDiet22","logProteinDiet",9.25463976182555,222
"WGI22","WGI",6.91214406239217,222
"logGDP22","logGDP",6.01101497313122,222
"logChondCatch22","logChondCatch",4.73879294718174,222
"HDI22","HDI",4.36563014269907,222
"logCoastPop22","logCoastPop",4.00752504968763,222
"logEstDis22","logEstDis",3.18815845926903,222
"logPprodMean22","logPprodMean",2.17889228981626,222
"logFishEffort22","logFishEffort",2.11932279706249,222
"SstMean22","SstMean",1.57917505609077,222
"speciessmall22","speciessmall",0.568556206888042,222
"speciesgreen22","speciesgreen",0.493406697390792,222
"specieslarge22","specieslarge",0.147869474860311,222
"speciesdwarf22","speciesdwarf",0,222
"speciesnarrow22","speciesnarrow",0,222
"logShelfAreaShallow23","logShelfAreaShallow",25.4383572039108,232
"logMang23","logMang",14.9096082623117,232
"logtotalGearTonnes23","logtotalGearTonnes",14.6109155177297,232
"logProteinDiet23","logProteinDiet",9.31201998278041,232
"WGI23","WGI",7.21654819118807,232
"logGDP23","logGDP",5.38836251348996,232
"logChondCatch23","logChondCatch",4.87013165597906,232
"logCoastPop23","logCoastPop",4.71496853530784,232
"HDI23","HDI",3.74595426677298,232
"logEstDis23","logEstDis",3.14841109483378,232
"logFishEffort23","logFishEffort",2.5015509964259,232
"logPprodMean23","logPprodMean",1.70279265151109,232
"SstMean23","SstMean",1.33443160280864,232
"speciesgreen23","speciesgreen",0.411034780434085,232
"speciessmall23","speciessmall",0.398867693274205,232
"specieslarge23","specieslarge",0.296045051241713,232
"speciesdwarf23","speciesdwarf",0,232
"speciesnarrow23","speciesnarrow",0,232
"logShelfAreaShallow24","logShelfAreaShallow",24.0109517466798,242
"logMang24","logMang",14.9900780908125,242
"logtotalGearTonnes24","logtotalGearTonnes",14.0228648304495,242
"logProteinDiet24","logProteinDiet",9.59267163226809,242
"WGI24","WGI",7.29884286583932,242
"logGDP24","logGDP",5.65192550447675,242
"logCoastPop24","logCoastPop",5.08728637263821,242
"logChondCatch24","logChondCatch",4.20941010649013,242
"HDI24","HDI",3.92146402249596,242
"logEstDis24","logEstDis",3.36035345196572,242
"logFishEffort24","logFishEffort",2.82247439275446,242
"logPprodMean24","logPprodMean",2.39691735508384,242
"SstMean24","SstMean",1.59045314187423,242
"speciessmall24","speciessmall",0.548880333241473,242
"speciesgreen24","speciesgreen",0.290074998019905,242
"specieslarge24","specieslarge",0.205351154910179,242
"speciesdwarf24","speciesdwarf",0,242
"speciesnarrow24","speciesnarrow",0,242
"logShelfAreaShallow25","logShelfAreaShallow",25.3087033276375,252
"logMang25","logMang",14.3416007082992,252
"logtotalGearTonnes25","logtotalGearTonnes",13.3255156042672,252
"logProteinDiet25","logProteinDiet",8.9743876072268,252
"WGI25","WGI",7.50624345746927,252
"logGDP25","logGDP",6.26117622580611,252
"logChondCatch25","logChondCatch",5.21536841799936,252
"logCoastPop25","logCoastPop",4.91525336590536,252
"HDI25","HDI",3.58065576194658,252
"logEstDis25","logEstDis",3.08028460604528,252
"logFishEffort25","logFishEffort",2.19878531263641,252
"logPprodMean25","logPprodMean",2.04894800257187,252
"SstMean25","SstMean",1.84562198467066,252
"speciessmall25","speciessmall",0.513028109317514,252
"speciesgreen25","speciesgreen",0.506298185945203,252
"specieslarge25","specieslarge",0.378129322255717,252
"speciesdwarf25","speciesdwarf",0,252
"speciesnarrow25","speciesnarrow",0,252
"logShelfAreaShallow26","logShelfAreaShallow",23.8859569913951,263
"logMang26","logMang",15.0591967589335,263
"logtotalGearTonnes26","logtotalGearTonnes",13.7250843099419,263
"logProteinDiet26","logProteinDiet",9.89083556907741,263
"WGI26","WGI",7.75916427136194,263
"logGDP26","logGDP",5.70155081125642,263
"logChondCatch26","logChondCatch",5.22349744895897,263
"logCoastPop26","logCoastPop",4.77956675280633,263
"HDI26","HDI",3.1701077139756,263
"logEstDis26","logEstDis",3.01539043547826,263
"logFishEffort26","logFishEffort",2.8993929103853,263
