"","ISO3","occurrence","RunNo","PredValue"
"269","MYS",0,"101",0.704547262494238
"270","MYS",0,"101",0.689561116259982
"271","PAK",1,"101",0.144536293068218
"272","PAK",1,"101",0.141025489731375
"273","PNG",1,"101",0.938149192872727
"274","TGO",0,"101",0.0475257811306326
"275","VCT",0,"101",0.0671735490436191
"276","ARE",1,"112",0.345761803869905
"277","BRB",0,"112",0.0487463209155279
"278","CIV",0,"112",0.188439010788335
"279","CIV",0,"112",0.0845546391679399
"280","CMR",0,"112",0.262085619414532
"281","GHA",0,"112",0.26596582800604
"282","GIN",0,"112",0.0889438601830868
"283","GNQ",0,"112",0.0902447133040679
"284","GRD",0,"112",0.0390259323233097
"285","GRD",0,"112",0.0422183434574153
"286","GUY",1,"112",0.206230297545816
"287","HND",1,"112",0.921922150691454
"288","IDN",1,"112",0.602514227962572
"289","IDN",1,"112",0.62722776799223
"290","IND",1,"112",0.541402905348123
"291","LCA",0,"112",0.0403929015838456
"292","MAR",0,"112",0.201605579096707
"293","MOZ",1,"112",0.524473938132339
"294","MYS",0,"112",0.678402350538939
"295","MYS",0,"112",0.638627135275402
"296","PAK",1,"112",0.148647655946959
"297","PAK",1,"112",0.133279102064439
"298","PNG",1,"112",0.932282364931559
"299","TGO",0,"112",0.0519810581410558
"300","VCT",0,"112",0.0626470371785108
"301","ARE",1,"122",0.417608894581926
"302","BRB",0,"122",0.070793704530915
"303","CIV",0,"122",0.247970526221366
"304","CIV",0,"122",0.114164161808585
"305","CMR",0,"122",0.364156397458886
"306","GHA",0,"122",0.313591943980969
"307","GIN",0,"122",0.15746243192282
"308","GNQ",0,"122",0.11464653017232
"309","GRD",0,"122",0.0647080013052588
"310","GRD",0,"122",0.0690189624912484
"311","GUY",1,"122",0.26830402243099
"312","HND",1,"122",0.860172061955142
"313","IDN",1,"122",0.62740661116485
"314","IDN",1,"122",0.63754911684446
"315","IND",1,"122",0.513978616922695
"316","LCA",0,"122",0.064733879029555
"317","MAR",0,"122",0.213507671672367
"318","MOZ",1,"122",0.586606261558915
"319","MYS",0,"122",0.664951246038213
"320","MYS",0,"122",0.646102809733903
"321","PAK",1,"122",0.217416861180543
"322","PAK",1,"122",0.204618387928011
"323","PNG",1,"122",0.886381999514491
"324","TGO",0,"122",0.0803873206619779
"325","VCT",0,"122",0.0943265189539949
"326","ARE",1,"132",0.353115180110737
"327","BRB",0,"132",0.0473939187403234
"328","CIV",0,"132",0.213823560710293
"329","CIV",0,"132",0.0923557988068524
"330","CMR",0,"132",0.344671185512626
"331","GHA",0,"132",0.286881667505472
"332","GIN",0,"132",0.106476954994596
"333","GNQ",0,"132",0.0869669493618081
"334","GRD",0,"132",0.0430019020828933
"335","GRD",0,"132",0.0436548073308684
"336","GUY",1,"132",0.214761716612745
"337","HND",1,"132",0.905001081892422
"338","IDN",1,"132",0.639634145637788
"339","IDN",1,"132",0.660338362519976
"340","IND",1,"132",0.545997835551126
"341","LCA",0,"132",0.0432801136096743
"342","MAR",0,"132",0.235783612428976
"343","MOZ",1,"132",0.518239527468282
"344","MYS",0,"132",0.654169145964992
"345","MYS",0,"132",0.631932966589746
"346","PAK",1,"132",0.167879480568983
"347","PAK",1,"132",0.151034614506073
"348","PNG",1,"132",0.925711226384282
"349","TGO",0,"132",0.0580401402683412
"350","VCT",0,"132",0.0661637297746944
"351","ARE",1,"142",0.443453009126013
"352","BRB",0,"142",0.0775682632877479
"353","CIV",0,"142",0.281909280618798
"354","CIV",0,"142",0.137427021723155
"355","CMR",0,"142",0.414676763189015
"356","GHA",0,"142",0.309583466166565
"357","GIN",0,"142",0.145771909776255
"358","GNQ",0,"142",0.12991633405726
"359","GRD",0,"142",0.0768546411700634
"360","GRD",0,"142",0.0794298230078914
"361","GUY",1,"142",0.278147818647512
"362","HND",1,"142",0.86859243574864
"363","IDN",1,"142",0.676686128300204
"364","IDN",1,"142",0.692137752862316
"365","IND",1,"142",0.544314246018085
"366","LCA",0,"142",0.0789228683347697
"367","MAR",0,"142",0.223823853623601
"368","MOZ",1,"142",0.580824659632378
"369","MYS",0,"142",0.632423652654384
"370","MYS",0,"142",0.602182636854879
"371","PAK",1,"142",0.185691116703323
"372","PAK",1,"142",0.177121050571872
"373","PNG",1,"142",0.868195160286725
"374","TGO",0,"142",0.0853990901139616
"375","VCT",0,"142",0.105764410376951
"376","ARE",1,"151",0.375088542813249
"377","BRB",0,"151",0.0411459861184748
"378","CIV",0,"151",0.179323627863568
"379","CIV",0,"151",0.0821939239989399
"380","CMR",0,"151",0.312170565639916
"381","GHA",0,"151",0.256371866837323
"382","GIN",0,"151",0.0990488610166863
"383","GNQ",0,"151",0.0774358229859922
"384","GRD",0,"151",0.0407521931808267
"385","GRD",0,"151",0.0423875372595869
"386","GUY",1,"151",0.22536858668855
"387","HND",1,"151",0.917179239176323
"388","IDN",1,"151",0.628201211651905
"389","IDN",1,"151",0.649282845411341
"390","IND",1,"151",0.553076997670919
"391","LCA",0,"151",0.0402375463445859
"392","MAR",0,"151",0.251662643876795
"393","MOZ",1,"151",0.53917257244448
"394","MYS",0,"151",0.673218564695223
"395","MYS",0,"151",0.644363945444839
"396","PAK",1,"151",0.156365111941616
"397","PAK",1,"151",0.148093705338573
"398","PNG",1,"151",0.934310118618784
"399","TGO",0,"151",0.0515967912636601
"400","VCT",0,"151",0.0654619741711028
"401","ARE",1,"162",0.338738537997941
"402","BRB",0,"162",0.0384005222660733
"403","CIV",0,"162",0.144238217499274
"404","CIV",0,"162",0.0605922468680205
"405","CMR",0,"162",0.278392059609871
"406","GHA",0,"162",0.245372448950617
"407","GIN",0,"162",0.0816617496212203
"408","GNQ",0,"162",0.0643405116917612
"409","GRD",0,"162",0.0331124143205023
"410","GRD",0,"162",0.0339919318444457
"411","GUY",1,"162",0.20792759483301
"412","HND",1,"162",0.930296502475566
"413","IDN",1,"162",0.603941189856409
"414","IDN",1,"162",0.645060802803125
"415","IND",1,"162",0.579226768611694
"416","LCA",0,"162",0.0323607134092689
"417","MAR",0,"162",0.212061237451315
"418","MOZ",1,"162",0.529459835183537
"419","MYS",0,"162",0.721587750990929
"420","MYS",0,"162",0.697595144227347
"421","PAK",1,"162",0.147854350697461
