"ISO3","occurrence","logtotalGearTonnes","logPprodMean","logCoastPop","logEstDis","logProteinDiet","logGDP","HDI","logMang","WGI","logChondCatch","SstMean","logShelfAreaShallow","logFishEffort","speciesdwarf","speciesgreen","specieslarge","speciesnarrow","speciessmall"
"IRN",2,17.0685962368002,0.00618681214819835,15.4400203173352,3.82573863683113,0.410233594995493,12.9455729277957,0.774,5.52275533773925,-0.832209547333333,12.3111126098169,19.5,11.8177675997463,3.80103469042792,0,1,0,0,0
"IRQ",2,11.8202111458139,0.0231753645905567,14.401984695212,6.75343791859778,0.251345874327354,12.0522802348502,0.649,0,-1.46241420516667,0,22,7.06331735660448,3.87649122581691,0,1,0,0,0
"KWT",2,14.1097097383971,0.0151311663264228,14.7799539174913,0,0.866585054410667,11.6161729697922,0.8,0,-0.211234544666667,0,22.5,9.25911645795128,2.37750412008235,0,1,0,0,0
"MDG",2,14.5148929828003,0.0140271706232624,16.0355819261684,5.82688467179018,0.725860920147838,9.21055934799918,0.512,6.90519131322936,-0.6935482075,11.2828328245678,27.5,10.8278840568933,0.668460337183701,0,1,0,0,0
"MMR",2,16.9500204642965,0.00886596690540848,16.9418061174188,8.46414397032642,1.30629096084991,11.0544724695679,0.556,6.92505486058523,-0.828688293833333,0,26.5,11.6913503077594,3.749924431156,0,1,0,0,0
"SGP",2,11.5489732046246,0.031908466800916,15.3032329376009,2.12823170584927,0,12.6014088961836,0.925,1.19489241186461,1.58952560516667,7.60339933974067,28,6.65618400711974,1.20256103902333,0,1,0,0,0
"SOM",2,15.0793025976104,0.0187432084670386,15.4584729910068,5.19915979501482,0,8.7352035906187,0.508,3.88786186527128,-2.11142156516667,0,26,10.0347499945379,0.957934542457218,0,1,0,0,0
"LKA",2,15.710513475361,0.0141994075588979,16.8047063149646,4.34657215368948,1.34647913165416,11.3061826827571,0.766,3.42184152961708,-0.107486747333333,11.7069861807528,27,9.84311051453704,2.98464799232974,0,1,0,0,0
"TWN",2,16.3311977860092,0.0167384246736937,16.9263410217562,4.00131511290691,1.73375719222151,13.1719551249818,0.738,0.591282331821849,1.103024751,13.1932597693794,21,10.0208485293604,3.66930057101593,0,1,0,0,0
"TZA",2,13.9459999523038,0.0123973927692907,15.8651741033813,5.51845640884195,0,10.7651334852629,0.531,6.0519259487812,-0.4115185165,11.2928771185633,28,9.7230390983896,2.11369431372171,0,1,0,0,0
"TLS",2,10.0795017207507,0.00455658299011245,13.7612032523205,0,0.16327336182326,7.48659649685506,0.605,0,-0.593197930666667,0,28.5,9.1442823605711,0.549729718753693,0,1,0,0,0
"VNM",2,17.4807112000812,0.013818313820041,18.0248789750241,8.5976402129483,1.21896365157866,12.2321163937061,0.683,5.31468494148771,-0.3384076615,0,24,12.5031109862763,5.16200673078734,0,1,0,0,0
"YEM",2,15.4528214551616,0.0211197095624146,16.3348980999112,0,0.569219123629695,10.2153234339131,0.482,4.21973234582486,-1.83570812133333,11.9022205399158,26,10.1825535283033,4.34956698220638,0,1,0,0,0
"SLB",2,12.1591899034015,0.0111264033651339,13.0757161155787,0,0,7.09268177331167,0.515,5.23653489893679,-0.2712851165,5.77455154554441,29.5,8.86690753363598,1.68271696970421,1,0,0,0,0
"BRA",2,17.1018234462599,0.0206451007471143,18.284986316511,9.27738902135426,0.655611838822876,14.4011769711649,0.754,8.35871128592507,-0.147756845666667,12.5552283910171,24,13.2210224787603,3.63513132722678,0,0,0,0,1
"COL",2,14.5207057221112,0.0217252279145933,16.3601809885632,6.81169174140102,0.47241816473757,12.5513047946953,0.727,7.21469827321062,-0.182256144666667,8.19533366716287,27,9.94146111813178,2.75283724748144,0,0,0,0,1
"CRI",2,14.3216328885228,0.0279667452999119,15.2704805735965,4.98975208317983,0.631171410504643,10.9584354428233,0.776,5.10533518468169,0.634873678333333,11.146200185178,27,7.37204976705141,2.15324589631785,0,0,0,0,1
"DOM",2,10.9466381301654,0.00135465304310883,16.039812003564,3.86895891595712,0.778329054840933,6.36729485008646,0.722,4.33425411586522,-0.150310655333333,8.24143968982973,26.5,8.00730610042388,1.43218655733979,0,0,0,0,1
"GUF",2,14.0522437629438,0.02201925796987,12.119664722789,6.7286286130847,0,8.14570714257996,0.751,0,1.116093268,6.69950034016168,27,10.28365539809,0.103819328638997,0,0,0,0,1
