"country","method","citation"
"Croatia","Historical ecology","Ferretti, F., Verd, GM., Seret, B., Sprem, JS & Micheli, F. (2016). Falling through the cracks: The fading history of a large iconic predator. Fish and Fisheries 17, 875-889."
"Syria","Historical ecology","Ferretti, F., Verd, GM., Seret, B., Sprem, JS & Micheli, F. (2016). Falling through the cracks: The fading history of a large iconic predator. Fish and Fisheries 17, 875-889."
"Israel","Historical ecology","Ferretti, F., Verd, GM., Seret, B., Sprem, JS & Micheli, F. (2016). Falling through the cracks: The fading history of a large iconic predator. Fish and Fisheries 17, 875-889."
"Algeria","Historical ecology","Ferretti, F., Verd, GM., Seret, B., Sprem, JS & Micheli, F. (2016). Falling through the cracks: The fading history of a large iconic predator. Fish and Fisheries 17, 875-889."
"United Arab Emerites","Local ecological knowledge","Jabado, RW., Al Baharna, RA., Al Ali, SR., Al Suwaidi, KO., Al Blooshi, AY & Al Dhaheri, SS. (2017). Is tis the last stand of the Critically Endangered green sawfish Pristis zijsron in the Arabian Gulf? Endangered Species Research 32, 265-275."
"Papua New Guinea","Distribution mapping","White, WT., Appleyard, SA., Kyne, PM & Mana, RR. (2017). Sawfishes in Papua New Guinea: A preliminary investigation into their status and level of exploitation. Endangered Species Research 32, 277-291."
"Australia","Ecological research","Phillips, NM., Chaplin, JA., Peverell, SC. & Morgan, DL. (2017). Contrasting population structures of three Pristis sawfishes with different patterns of habitat use. Marine and Freshwater Research 68, 452-460."
"Australia","Ecological research","Phillips, NM., Chaplin, JA., Peverell, SC. & Morgan, DL. (2017). Contrasting population structures of three Pristis sawfishes with different patterns of habitat use. Marine and Freshwater Research 68, 452-460."
"Australia","Ecological research","Phillips, NM., Chaplin, JA., Peverell, SC. & Morgan, DL. (2017). Contrasting population structures of three Pristis sawfishes with different patterns of habitat use. Marine and Freshwater Research 68, 452-460."
"Australia","Fisheries","Wakefield, CB., Santana-Garcon, J., Dorman, SR., Blight, S., Denham, A., Wakeford, J., Molony, BW. & Newman, SJ. (2017). Performance of bycatch reduction devices varies for chondrichthyan, reptile, and cetacean mitigation in demersal fish trawls: Assimilating subsurface interactions and unaccounted mortality. ICES Journal of Marine Science 74, 343-358."
"Australia","Ecological research","Phillips, NM., Fearing, A. & Morgan, DL. (2017). Genetic bottlenecks in Pristis sawfishes in northern Australian waters. Endangered Species Research 32, 363-372."
"Australia","Ecological research","Phillips, NM., Fearing, A. & Morgan, DL. (2017). Genetic bottlenecks in Pristis sawfishes in northern Australian waters. Endangered Species Research 32, 363-372."
"Australia","Ecological research","Phillips, NM., Fearing, A. & Morgan, DL. (2017). Genetic bottlenecks in Pristis sawfishes in northern Australian waters. Endangered Species Research 32, 363-372."
"Brazil","Distribution mapping","Schmid, K. & Giarrizzo, T. (2017). New record of a largetooth sawfish specimen from the Amazon River Estuary in Northern Brazil. Fisheries 42, 254-255."
"Mexico","Local ecological knowledge","Bonfil, R., Mendoza-Vargas, OU., Ricano-Soriano, M., Palacios-Barreto, PY. & Bolano-Martinez, N. (2017). Former widespread abundance and recent downfall of sawfishes in Mexico as evidenced by historical photographic and trophy records. Fisheries 42, 256-259."
"Mexico","Local ecological knowledge","Bonfil, R., Mendoza-Vargas, OU., Ricano-Soriano, M., Palacios-Barreto, PY. & Bolano-Martinez, N. (2017). Former widespread abundance and recent downfall of sawfishes in Mexico as evidenced by historical photographic and trophy records. Fisheries 42, 256-259."
"United States Of America","Ecological research","Poulakis, GR., Urakawa, H., Stevens, PW., DeAngelo, JA., Timmers, AA., Grubbs, RD., Fisk, AT. & Olin, JA. (2017). Sympatric elasmobranch and fecal samples provide insight into the trophic ecology of the smalltooth sawfish. Endangered Species Research 32, 491-506."
"United States Of America","Taxonomy","Seitz, JA. & Hoover, JJ. (2017). Taxonomic resolution of sawfish rostra from two private collections. Endangered Species Research 32, 525-532."
"Australia","Ecological research","Whitty, JM., Keleher, J., Ebner, BC., Gleiss, AC., Simpfendorfer, CA. & Morgan, DL. (2017). Habitat use of a Critically Endangered elasmobranch, the largetooth sawfish Pristis pristis, in an intermittently flowing rivering nursery. Endangered Species Research 34, 211-227."
"Brazil","Distribution mapping","Feitosa, LM., Martins, APB. & Nunes, JLS. (2017). Sawfish (Pristidae) records along the Eastern Amazong coast. Endangered Species Research 34, 229-234."
"Australia","Ecological research","Morgan, DL., Ebner, BC., Allen, MG., Gleiss, AC., Beatty, SJ. & Whitty, JM. (2017). Habitat use and site fidelity of neonate and juvenile green sawfish Pristis zijsron in a nursery area in Western Australia. Endangered Species Research 34, 235-249."
"Australia","Fisheries","Wueringer, BE. (2017). Sawfish captures in the Queensland Shark Control Program, 1962-2016. Endangered Species Research 34, 293-300."
"United States Of America","Ecological research","Huston, CA., Stevens, PW., Blaxton, RM., Tolley, G., Scharer, Rm., Tornwall, BM. & Poulakis, GR. (2017). Diel movements of juvenile smalltooth sawfish: implications for defining the size of a nursery hotspot. Endangered Species Research 34, 311-322."
"United States Of America","Ecological research","Feldheim, KA., Fields, AT., Chapman, DD., Scharer, RM & Poulakis, GR. (2017). Insights into reproduction and behavior of the smalltooth sawfish Pristis pectinata. Endangered Species Research 34, 463-471."
"United States Of America","Ecological research","Scharer, RM., Stevens, PW., Shea, CP. & Poulakis, GR. (2017). All nurseries are not created equal: Large-scale habitat use patterns in two smalltooth sawfish nurseries. Endangered Species Research 34, 473-492."
"Australia","Ecological research","Gleiss, AC., Morgan, Dl., Whitty, JM., Keleher, JJ., Fossette, S. & Hays, GC. (2017). Are vertical migrations driven by circadian behaviour? Decoupling of activity and depth use in a large riverine elasmobranch, the freshwater sawfish (Pristis pristis). Hydrobiologia 787, 181-191."
"Mozambique","Local ecological knowledge","Leeney, Rh. (2017). Are sawfishes still present in Mozambique? A baseline ecological study. PeerJ 5, e2950."
"Australia","Ecological research","Bradney, DR., Davidson, A., Evans, SP., Wueringer, BE., Morgan, DL. & Clausen, PD. (2017). Sawfishes stealth revealed using computational fluid dynamics. Journal of Fish Biology 90, 1584-1596."
"Australia","Ecological research","Morgan, DL., Somaweera, R., Gleiss, AC., Beatty, SJ. & Whitty, JM. (2017). An upstream migration fought with danger: Freshwater sawfish fending off sharks and crocodiles. Ecology 98, 1465-1467."
"Australia","Ecological research","Nevatte, RJ., Wueringer, BE., Jacob, DE., Park, JM. & Williamson, JE. (2017). First insights into the function of the sawshark rostrum through examination of rostral tooth microwear. Journal of Fish Biology 91, 1582-1602."
"United States Of America","Taxonomy","Kritsky, DC., Bullard, SA., Bakenhaster, MD., Scharer, RM. & Poulakis, GR. (2017). Resurrection of Mecteronastes (Monogenoidea: Monocotylidae), with description of Mycteronastes caalusi N. sp from olfactory sacs of the smalltooth sawfish, Pristis pectinata (Pristiformes: Pristidae), in the Gulf of Mexico off Florida. Journal of Parasitology 103, 477-485."
"Papua New Guinea","Local ecological knowledge","Leeney, RH., Mana, RR. & Dulvy, NK. (2018). Fishers' ecological knowledge of sawfishes in Sepik and Ramu rivers, northern Papua New Guinea. Endangered Species Research 36, 15-26."
"Sudan","Fisheries","Elhassan, IS. (2018). Occurrence of the green sawfish Pristis zijsron in the Sudanese Red Sea with observations on reproduction. Endangered Species Research 36, 41-47."
"United States Of America","Ecological research","Prohaska, BK., Bethea, DM., Poulakis, GR., Scharer, RM., Knotek, R., Carlson, JK & Grubbs, RD. (2018). Physiological stress in the smalltooth sawfish: Effects on ontogeny, capture method, and habitat quality. Endangered Species Research 36, 121-135."
"Australia","Ecological research","Kyne, PM., Wang, JJ., Xiang, D., Chen, X & Feutry, P. (2018). The phylogenomic position of the Critically Endangered largetooth sawfish Pristis pristis (Rhinopristiformes, Pristidae), inferred from the complete mitochondrial genome. Mitochondrial DNA Part B-Resources 3, 972-973."
"Mexico","Local ecological knowledge","Bonfil, R., Ricano-Soriano, M., Mendoza-Vargas, OU., Mendez-Loeza, I., Perez-Jimenez, JC., Bolano-Martinez, N & Palacios-Barreto, P. (2018). Endangered Species Research 36, 213-228."
"Mexico","Local ecological knowledge","Bonfil, R., Ricano-Soriano, M., Mendoza-Vargas, OU., Mendez-Loeza, I., Perez-Jimenez, JC., Bolano-Martinez, N & Palacios-Barreto, P. (2018). Endangered Species Research 36, 213-228."
"Australia","Ecological research","Green, ME., D-Anastasi, BR., Hobbs, JPA., Feldheim, K., McAuley, R., Peverell, S., Stapley, J., Johnson, G., Appleyard, SA., White, WT., Simpfendorfer, CA. & van Herwerden, L. (2018). Mixed-marker approach suggests maternal philopatry and sex-biased behaviours of narrow sawfish Anoxypristis cuspidata. Endangered Species Research 37, 45-54."
"Australia","Ecological research","Green, ME., D-Anastasi, BR., Hobbs, JPA., Feldheim, K., McAuley, R., Peverell, S., Stapley, J., Johnson, G., Appleyard, SA., White, WT., Simpfendorfer, CA. & van Herwerden, L. (2018). Mixed-marker approach suggests maternal philopatry and sex-biased behaviours of narrow sawfish Anoxypristis cuspidata. Endangered Species Research 37, 45-54."
"Australia","Ecological research","Green, ME., D-Anastasi, BR., Hobbs, JPA., Feldheim, K., McAuley, R., Peverell, S., Stapley, J., Johnson, G., Appleyard, SA., White, WT., Simpfendorfer, CA. & van Herwerden, L. (2018). Mixed-marker approach suggests maternal philopatry and sex-biased behaviours of narrow sawfish Anoxypristis cuspidata. Endangered Species Research 37, 45-54."
"Papua New Guinea","Ecological research","Green, ME., D-Anastasi, BR., Hobbs, JPA., Feldheim, K., McAuley, R., Peverell, S., Stapley, J., Johnson, G., Appleyard, SA., White, WT., Simpfendorfer, CA. & van Herwerden, L. (2018). Mixed-marker approach suggests maternal philopatry and sex-biased behaviours of narrow sawfish Anoxypristis cuspidata. Endangered Species Research 37, 45-54."
