"ISO3","occurrence","logtotalGearTonnes","logPprodMean","logCoastPop","logEstDis","logProteinDiet","logGDP","HDI","logMang","WGI","logChondCatch","logShelfAreaShallow","SstMean","logFishEffort","speciesdwarf","speciesgreen","specieslarge","speciesnarrow","speciessmall"
"GNQ",0,14.4160807700684,0.00529212198736779,12.8800803288746,0.693147180559945,0,9.27667103626546,0.592,4.44600115038404,-1.35965815433333,7.13648320859025,7.11955963108387,27.5,0.961984773103076,0,0,1,0,0
"GAB",0,15.1743171399731,0.0132566796449623,13.6264797443577,7.19596346301295,1.8099885320768,9.56202207038761,0.697,6.28073604194602,-0.658957307333333,8.46505743699571,8.3938611387527,26.5,1.83648204330861,0,0,1,0,0
"GMB",0,15.1097512656462,0.0371791112709453,13.9932759177048,5.14166355650266,1.94402157436745,6.87274966978332,0.452,5.26868934034057,-0.7821990945,9.04652648673797,6.93197759856306,26,2.48114274457452,0,0,1,0,0
"GHA",0,15.7381359325689,0.0389236959711218,16.0872150144787,4.90616758964041,1.68802237305693,10.661738250843,0.579,3.86307756467393,-0.0207157428333333,11.1164993815127,8.24346620396864,28,4.89794622932503,0,0,1,0,0
"GIN",0,16.9303354023458,0.0103377736093114,14.8509568942024,5.6808549700125,0.725449970620356,9.01204186065909,0.414,6.51640837682858,-0.8743251015,9.61186439085109,10.0232404711429,27.5,2.21158365002358,0,0,1,0,0
"GNB",0,16.5502554963562,0.0177136969997147,14.1666138088086,5.72358510195238,0.583163836749291,7.06128290761044,0.424,6.90470214460713,-1.18718971816667,4.18965474202643,10.0648099527031,26.5,3.70426459194976,0,0,1,0,0
"LBR",0,15.4309250777818,0.0115816727584184,14.6129348675306,4.23323656108872,0.824465040221336,7.6506445514369,0.427,3.62083245720013,-0.765142121666667,8.9000036089596,6.65671157599469,28,1.3416227532224,0,0,1,0,0
"MRT",0,16.5223956662923,0.0789376493214012,13.7984417104845,0,0.880526679090247,8.46385570382556,0.513,0.484961671595188,-0.7792384525,10.2111928161934,8.88228091281811,22.5,2.18430838837204,0,0,1,0,0
"MAR",0,19.1181350668755,0.00797367062610996,16.8327842893093,3.83024879957646,0.786053100233089,11.5483632626821,0.647,0,-0.260267824,11.0411282281717,8.06934901686777,18,2.35755440941115,0,0,1,0,0
"NGA",0,15.8895131124965,0.0110415669216255,17.272301164382,7.81896646511299,0.801790039280126,12.9107869680115,0.527,7.8006358770783,-1.04194073883333,12.4087767268069,9.41208145409736,28,5.13721594685532,0,0,1,0,0
"SEN",0,16.7598782705342,0.0352205703546105,16.0206853374161,5.77441178422545,1.53556793808147,9.59456141441485,0.494,6.0600049737572,-0.1197850535,11.5423386255386,8.54385913492732,25,5.02736989612219,0,0,1,0,0
"TGO",0,13.7267913125413,0.0215015098482382,14.8123425808909,2.19722457733622,0.910234695197114,8.38958706681109,0.487,2.47677286086471,-0.657246105333333,7.44014668066269,5.60147345880385,28,1.70495671429053,0,0,1,0,0
"AUS",1,15.9836966345266,0.00730985380049165,16.6905831560481,4.16098916879848,1.142719447161,14.0016725973219,0.939,7.36190026581344,1.544866234,11.6234108261453,12.8810691659645,24,2.81227160668197,0,0,1,0,0
"BGD",1,16.0508154878294,0.105483838553245,18.0537426420923,10.4693125945207,0.949396998841312,12.3077992866563,0.579,7.12100414535892,-0.779563576,10.6258051103959,9.57309088113433,25,5.05336660317639,0,0,1,0,0
"IND",1,17.9542098472425,0.0147097442810369,19.3978242466738,5.9621479855238,0.429758806966011,14.632552503898,0.624,6.69101883251502,-0.186531864166667,13.78727053575,11.2008646895566,26,5.95353819590673,0,0,1,0,0
"IDN",1,18.5599547239331,0.00996615548043326,19.1693750044619,6.84293349933986,1.29954881500337,13.7453672177991,0.689,8.50712546813885,-0.181098689833333,14.2914061703367,13.1495492904533,28,6.44282528015554,0,0,1,0,0
"MDG",1,14.5148929828003,0.0140271706232624,16.0355819261684,5.82688467179018,0.725860920147838,9.21055934799918,0.512,6.90519131322936,-0.6935482075,11.2828328245678,10.2958332232802,27.5,0.668460337183701,0,0,1,0,0
"MOZ",1,14.8852830012481,0.0142788483002222,16.2743674225363,6.16751649088834,0.458260418558693,9.30709133154052,0.418,7.46040311099981,-0.813895722166667,9.47178113322274,10.6074794987242,26.5,1.57334829228903,0,0,1,0,0
"PAK",1,17.0402349983569,0.0113770353983369,16.5297649399394,7.9478676661827,0.253617853024623,12.5386600961319,0.55,5.78818063310701,-1.01983460783333,12.415733715285,9.05933739707375,24.5,3.26003548544978,0,0,1,0,0
"PNG",1,13.1563313185876,0.0162600745652291,15.1594862321617,7.58975724843708,0,9.91414110142006,0.516,7.16434117153772,-0.544137763666667,7.99328232810159,11.1324247709501,29,2.69589456856295,0,0,1,0,0
"SOM",1,15.0793025976104,0.0187432084670386,15.4584729910068,5.19915979501482,0,8.7352035906187,0.508,3.88786186527128,-2.11142156516667,0,9.38751486198562,26,0.957934542457218,0,0,1,0,0
"YEM",1,15.4528214551616,0.0211197095624146,16.3348980999112,0,0.569219123629695,10.2153234339131,0.482,4.21973234582486,-1.83570812133333,11.9022205399158,9.30035897696967,26,4.34956698220638,0,0,1,0,0
"KHM",0,16.3653085211608,0.00505761766261338,14.7964115584021,0,1.19771743115399,9.90437465894086,0.563,5.01352165454729,-0.753027804,0,9.38696442209346,27,4.49434119351625,0,0,1,0,0
"MYS",0,17.459787849398,0.00867477510346231,17.028565997203,5.93759709220786,1.99901648890915,12.5999270427836,0.789,7.24813974712176,0.312080825333333,12.6644053082278,11.0133360342561,27,6.66051112730373,0,0,1,0,0
"OMN",0,15.41796915775,0.0311099141791797,14.6986332621717,0,1.46407489662568,11.1018602555246,0.796,1.19371883986275,0.216900964333333,11.4641133005588,9.60325006233028,24.5,3.4730749772177,0,0,1,0,0
"PHL",0,16.6911594456693,0.00663901488882062,18.2545030233518,4.95827877804721,1.77900552639049,12.6277601560417,0.682,6.46386505513712,-0.350161424666667,11.132952649623,11.3255368227949,26,5.1342778244912,0,0,1,0,0
"SYC",0,11.2830641926202,0.00683082470485032,10.560878013384,0,0,7.26425420743105,0.782,2.43734145965642,0.316618574,8.49002752334347,8.97679628309097,27.5,0.729071044956459,0,0,1,0,0
"SGP",0,11.5489732046246,0.031908466800916,15.3032329376009,2.12823170584927,0,12.6014088961836,0.925,1.19489241186461,1.58952560516667,7.60339933974067,5.19480612548299,28,1.20256103902333,0,0,1,0,0
"ZAF",0,16.1843199109887,0.0320386859516009,16.7254633499792,2.47190583761075,0.836879899996753,12.5962792322367,0.666,5.13875908471043,0.186530700333333,10.5821046813117,7.15383521205478,24,2.45469853422408,0,0,1,0,0
"THA",0,17.7113535462764,0.00560745976976474,17.0936058955924,5.73285572214191,1.50796918500391,12.9166351206798,0.74,6.43257495824003,-0.319611497,12.0283445227464,10.7440438015279,27.5,4.05546512416118,0,0,1,0,0
"ECU",1,15.6306115831272,0.0481276028193668,15.7744177356778,6.63156250657811,0.767484236983991,11.4989783546242,0.739,6.26746215075316,-0.527053443166667,11.3130833150583,8.78197647799678,22.4,3.4572375926509,0,0,1,0,0
"PER",1,17.2563163470309,0.0616713039711511,16.5859529159113,7.59186171488993,1.20859418475017,12.1663351668766,0.74,2.85084745688698,-0.0650302966666667,11.8570256773268,8.32498062256092,19.5,6.09198421087994,0,0,1,0,0
"AUS",1,15.9836966345266,0.00730985380049165,16.6905831560481,4.16098916879848,1.142719447161,14.0016725973219,0.939,7.36190026581344,1.544866234,11.6234108261453,13.3941726862164,26,2.81227160668197,0,0,0,1,0
"BGD",1,16.0508154878294,0.105483838553245,18.0537426420923,10.4693125945207,0.949396998841312,12.3077992866563,0.579,7.12100414535892,-0.779563576,10.6258051103959,9.79905777971389,25,5.05336660317639,0,0,0,1,0
"IND",1,17.9542098472425,0.0147097442810369,19.3978242466738,5.9621479855238,0.429758806966011,14.632552503898,0.624,6.69101883251502,-0.186531864166667,13.78727053575,11.5754555643283,26,5.95353819590673,0,0,0,1,0
